ward_id,timestamp,rain_mm_idw
TP Cần Thơ | Hòa Tú,2025-11-17 14:00,5.2430487816878095
TP Cần Thơ | Hòa Tú,2025-11-17 15:00,4.106775242765441
TP Cần Thơ | Hòa Tú,2025-11-17 16:00,1.5781034438296109
TP Cần Thơ | Hòa Tú,2025-11-18 23:00,1.734562764976394
TP Cần Thơ | Hòa Tú,2025-11-19 00:00,3.309042257837205
TP Cần Thơ | Hòa Tú,2025-11-19 01:00,1.0625765143223582
TP Cần Thơ | Hòa Tú,2025-11-19 02:00,1.3134090257296622
TP Cần Thơ | Hòa Tú,2025-11-19 03:00,2.130372455996968
TP Cần Thơ | Hòa Tú,2025-11-19 04:00,1.8996533487200593
TP Cần Thơ | Hòa Tú,2025-11-19 05:00,1.1528183288108276
TP Cần Thơ | Hưng Phú,2025-11-16 15:00,2.7408247392656166
TP Cần Thơ | Hưng Phú,2025-11-16 16:00,12.068630525212946
TP Cần Thơ | Hưng Phú,2025-11-16 17:00,6.491541420812931
TP Cần Thơ | Hưng Phú,2025-11-16 21:00,7.342181736859867
TP Cần Thơ | Hưng Phú,2025-11-16 22:00,2.206056130422824
TP Cần Thơ | Hưng Phú,2025-11-17 10:00,5.678147574888649
TP Cần Thơ | Hưng Phú,2025-11-17 11:00,3.2486968314094695
TP Cần Thơ | Hưng Phú,2025-11-17 12:00,2.8353754447367625
TP Cần Thơ | Hưng Phú,2025-11-17 13:00,1.9483734425614048
TP Cần Thơ | Hưng Phú,2025-11-17 14:00,1.7999579103353829
TP Cần Thơ | Hưng Phú,2025-11-17 15:00,13.431570246235816
TP Cần Thơ | Hưng Phú,2025-11-17 16:00,1.9537320451849411
TP Cần Thơ | Hỏa Lựu,2025-11-13 23:00,5.942212680255116
TP Cần Thơ | Hỏa Lựu,2025-11-14 00:00,1.5585199290033187
TP Cần Thơ | Hỏa Lựu,2025-11-14 11:00,1.8119712881773544
TP Cần Thơ | Hỏa Lựu,2025-11-16 14:00,4.691480377732125
